raw_id,cleaned,scientific_name,collection_id
A29,A29,A29,
Tausonia_pullulans_CBS_2532,Tausonia pullulans CBS 2532,Tausonia pullulans,CBS_2532
Tausonia_pamirica_CBS_8428,Tausonia pamirica CBS 8428,Tausonia pamirica,CBS_8428
Mrakia_gelida_CBS_5272,Mrakia gelida CBS 5272,Mrakia gelida,CBS_5272
Mrakia_frigida_CBS_5270,Mrakia frigida CBS 5270,Mrakia frigida,CBS_5270
Itersonilia_pannonica_CBS_9123,Itersonilia pannonica CBS 9123,Itersonilia pannonica,CBS_9123
Udeniomyces_puniceus_CBS_5689,Udeniomyces puniceus CBS 5689,Udeniomyces puniceus,CBS_5689
Udeniomyces_megalosporus_CBS_7236,Udeniomyces megalosporus CBS 7236,Udeniomyces megalosporus,CBS_7236
Krasilnikovozyma_huempii_CBS_8186,Krasilnikovozyma huempii CBS 8186,Krasilnikovozyma huempii,CBS_8186
Phaffia_rhodozyma_CBS_5905,Phaffia rhodozyma CBS 5905,Phaffia rhodozyma,CBS_5905
Geastrum_wrightii_AH_49090,Geastrum wrightii AH 49090,Geastrum wrightii,AH_49090
Tomentella_aureomarginata_IFP_019247,Tomentella aureomarginata IFP 019247,Tomentella aureomarginata,IFP_019247
Cerrena_aurantiopora_NIBR_FG0000102423,Cerrena aurantiopora NIBR FG0000102423,Cerrena aurantiopora,NIBR_FG0000102423
Steccherinum_yunnanense_SWFC_CLZhao_2822,Steccherinum yunnanense SWFC CLZhao 2822,Steccherinum yunnanense,SWFC_CLZhao_2822
Filobasidium_magnum_CBS_140,Filobasidium magnum CBS 140,Filobasidium magnum,CBS_140
Papiliotrema_anemochoreius_CBS_10258,Papiliotrema anemochoreius CBS 10258,Papiliotrema anemochoreius,CBS_10258
Cystobasidium_minutum_CBS_319,Cystobasidium minutum CBS 319,Cystobasidium minutum,CBS_319
