Node_IDs,Italic_index,Group_flag
Meyerozyma_athensensis_CBS_9840,"0,1",0
Meyerozyma_smithsonii_CBS_9839,"0,1",0
Meyerozyma_guilliermondii_NRRL_Y-2075,"0,1",0
A38,,1
Debaryomyces_hansenii_NRRL_Y-7426,"0,1",0
Wickerhamia_fluorescens_NRRL_YB-4819,"0,1",0
Citeromyces_hawaiiensis_NRRL_Y-11581,"0,1",0
Babjeviella_inositovora_NRRL_Y-12698,"0,1",0
Nakazawaea_laoshanensis_NRRL_Y-63634,"0,1",0
Nakazawaea_holstii_JCM_3608,"0,1",0
Ogataea_chonburiensis_ATCC_MYA-4462,"0,1",0
Kuraishia_capsulata_JCM_1991,"0,1",0
Soucietia_sequanensis_JCM_9841,"0,1",0
Groenewaldozyma_salmanticensis_JCM_8896,"0,1",0
Diddensiella_santjacobensis_JCM_8924,"0,1",0
Sugiyamaella_paludigena_JCM_9614,"0,1",0
Bimuria_novae-zelandiae_CBS_107.79,"0,1",0
Penicillium_taxi_CBS_206.57,"0,1",0
Pleurothecium_semifecundum_CBS_131271,"0,1",0
Plagiascoma_frondosum_CBS_139031,"0,1",0
Starmerella_floricola_JCM_9439,"0,1",0
raw_id,cleaned,scientific_name,collection_id
Meyerozyma_athensensis_CBS_9840,Meyerozyma athensensis CBS 9840,Meyerozyma athensensis,CBS_9840
Meyerozyma_smithsonii_CBS_9839,Meyerozyma smithsonii CBS 9839,Meyerozyma smithsonii,CBS_9839
Meyerozyma_guilliermondii_NRRL_Y-2075,Meyerozyma guilliermondii NRRL Y-2075,Meyerozyma guilliermondii,NRRL_Y-2075
A38,A38,A38,
Debaryomyces_hansenii_NRRL_Y-7426,Debaryomyces hansenii NRRL Y-7426,Debaryomyces hansenii,NRRL_Y-7426
Wickerhamia_fluorescens_NRRL_YB-4819,Wickerhamia fluorescens NRRL YB-4819,Wickerhamia fluorescens,NRRL_YB-4819
Citeromyces_hawaiiensis_NRRL_Y-11581,Citeromyces hawaiiensis NRRL Y-11581,Citeromyces hawaiiensis,NRRL_Y-11581
Babjeviella_inositovora_NRRL_Y-12698,Babjeviella inositovora NRRL Y-12698,Babjeviella inositovora,NRRL_Y-12698
Nakazawaea_laoshanensis_NRRL_Y-63634,Nakazawaea laoshanensis NRRL Y-63634,Nakazawaea laoshanensis,NRRL_Y-63634
Nakazawaea_holstii_JCM_3608,Nakazawaea holstii JCM 3608,Nakazawaea holstii,JCM_3608
Ogataea_chonburiensis_ATCC_MYA-4462,Ogataea chonburiensis ATCC MYA-4462,Ogataea chonburiensis,ATCC_MYA-4462
Kuraishia_capsulata_JCM_1991,Kuraishia capsulata JCM 1991,Kuraishia capsulata,JCM_1991
Soucietia_sequanensis_JCM_9841,Soucietia sequanensis JCM 9841,Soucietia sequanensis,JCM_9841
Groenewaldozyma_salmanticensis_JCM_8896,Groenewaldozyma salmanticensis JCM 8896,Groenewaldozyma salmanticensis,JCM_8896
Diddensiella_santjacobensis_JCM_8924,Diddensiella santjacobensis JCM 8924,Diddensiella santjacobensis,JCM_8924
Sugiyamaella_paludigena_JCM_9614,Sugiyamaella paludigena JCM 9614,Sugiyamaella paludigena,JCM_9614
Bimuria_novae-zelandiae_CBS_107.79,Bimuria novae-zelandiae CBS 107.79,Bimuria novae-zelandiae,CBS_107.79
Penicillium_taxi_CBS_206.57,Penicillium taxi CBS 206.57,Penicillium taxi,CBS_206.57
Pleurothecium_semifecundum_CBS_131271,Pleurothecium semifecundum CBS 131271,Pleurothecium semifecundum,CBS_131271
Plagiascoma_frondosum_CBS_139031,Plagiascoma frondosum CBS 139031,Plagiascoma frondosum,CBS_139031
Starmerella_floricola_JCM_9439,Starmerella floricola JCM 9439,Starmerella floricola,JCM_9439
